Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,2.347,98.8,0.05772005772005772
0.2,0.4,4.758,98.6,0.06498570314530804
0.2,0.6,5.176,98.7,0.06649378283130528
0.2,0.8,7.239,99.2,0.07538635506973237
0.2,1.0,8.281,99.5,0.08152616990053807
0.4,0.2,-4.526,98.7,0.04179728317659352
0.4,0.4,1.078,98.7,0.0530082162735224
0.4,0.6,5.642,99.7,0.06753562504220977
0.4,0.8,7.656,99.9,0.07692899453804139
0.4,1.0,10.234,100.0,0.09439305267132339
0.6,0.2,-23.654,93.8,0.025186379206125327
0.6,0.4,-4.308,98.9,0.04262392907378203
0.6,0.6,3.571,99.9,0.05978000956480153
0.6,0.8,8.156,100.0,0.08012820512820512
0.6,1.0,10.989,100.0,0.10085728693898136
0.8,0.2,-73.155,51.4,0.013547014915263424
0.8,0.4,-13.536,98.4,0.03150201612903226
0.8,0.6,1.935,100.0,0.055269993920300665
0.8,0.8,8.314,100.0,0.08076239702794379
0.8,1.0,11.38,100.0,0.10482180293501049
1.0,0.2,-123.688,7.199999999999999,0.01046857334282484
1.0,0.4,-36.639,87.7,0.019939384271813687
1.0,0.6,-1.101,100.0,0.04793634053976319
1.0,0.8,7.993,100.0,0.0787959971633441
1.0,1.0,11.994,100.0,0.11103708638685321
